Unnamed: 0,DienTich(m²),Phongngu,SoTang,PhongTam,Loai,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,Gia(Triệu),Duong,Phuong,Quan,ThanhPho,Gia_m²(Triệu)
76,68.0,2,0.0,2, Chung cư, Hoàn thiện cơ bản, Đông, Tây,1600.0,Lô 5,Bình Hưng Hoà B,Bình Tân,Tp Hồ Chí Minh,23.53
77,50.0,1,0.0,1, Chung cư, Nội thất cao cấp,,,4900.0,628A Xa Lộ Hà Nội,An Phú,2,Tp Hồ Chí Minh,98.0
78,70.0,1,7.0,1, Chung cư, Nội thất cao cấp, Đông Nam, Tây Bắc,4000.0,108,2,Tân Bình,Tp Hồ Chí Minh,57.14
79,62.0,2,0.0,2, Chung cư, Hoàn thiện cơ bản, Đông Nam, Đông,1800.0,Đường Liên Phường,Phú Hữu,9,Tp Hồ Chí Minh,29.03
80,50.0,1,0.0,1, Chung cư,Không có nội thất,,,1550.0,Đường Nguyễn Văn Linh,,,Tp Hồ Chí Minh,31.0
81,71.0,2,0.0,2, Chung cư,Không có nội thất,,,2570.0,Đường Nguyễn Hữu Thọ,,,Tp Hồ Chí Minh,36.2
82,72.92,2,0.0,2, Chung cư,Không có nội thất,, Nam,3900.0,104,2,Tân Bình,Tp Hồ Chí Minh,53.48
83,53.0,2,0.0,1, Chung cư,Không có nội thất,,,1205.0,Đường An Dương Vương,16,8,Tp Hồ Chí Minh,22.74
84,72.0,2,0.0,2, Chung cư,Không có nội thất,,,2120.0,Đường Phạm Văn Đồng,Linh Tây,Thủ Đức,Tp Hồ Chí Minh,29.44
85,71.0,2,0.0,2, Chung cư,Không có nội thất,,,3010.0,Đường 20,Hiệp Bình Chánh,Thủ Đức,Tp Hồ Chí Minh,42.39
86,89.0,3,0.0,2, Chung cư,Không có nội thất,,,4050.0,Số 207,26,Bình Thạnh,Tp Hồ Chí Minh,45.51
87,66.0,2,0.0,2, Chung cư,Không có nội thất,,,3380.0,Số 207,26,Bình Thạnh,Tp Hồ Chí Minh,51.21
88,65.0,2,14.0,2, Chung cư, Nội thất cao cấp, Bắc, Nam,2190.0,Đường Phan Văn Hớn,Tân Thới Nhất,12,Tp Hồ Chí Minh,33.69
89,73.0,2,0.0,2, Chung cư,Không có nội thất,,,3000.0,KĐT City Horse Đường Mai Chí Thọ,An Phú,2,Tp Hồ Chí Minh,41.1
90,79.0,2,0.0,2, Chung cư,Không có nội thất, Tây Bắc, Đông Nam,2690.0,Số 510,An Lạc A,Bình Tân,Tp Hồ Chí Minh,34.05
91,66.0,2,0.0,2, Chung cư,Không có nội thất,,,3500.0,Số 207,26,Bình Thạnh,Tp Hồ Chí Minh,53.03
92,68.0,2,0.0,1, Chung cư, Nội thất đầy đủ, Đông Nam, Tây Bắc,2650.0,996,6,8,Tp Hồ Chí Minh,38.97
93,64.0,2,10.0,2, Chung cư, Nội thất đầy đủ, Nam, Bắc,3300.0,Đường Nguyễn Hữu Thọ,,,Tp Hồ Chí Minh,51.56
94,98.0,2,0.0,2, Chung cư, Nội thất đầy đủ,,,6200.0,130-132,9,Phú Nhuận,Tp Hồ Chí Minh,63.27
95,50.0,2,0.0,1, Chung cư, Nội thất đầy đủ,,,1680.0,Đường Thống Nhất,Linh Trung,Thủ Đức,Tp Hồ Chí Minh,33.6
96,49.0,1,0.0,1, Chung cư,Không có nội thất,,,1890.0,Đường số 1,Trường Thọ,Thủ Đức,Tp Hồ Chí Minh,38.57
97,53.0,1,0.0,1, Chung cư,Không có nội thất, Đông Nam, Tây Bắc,2350.0,số 88,Sơn Kỳ,Tân Phú,Tp Hồ Chí Minh,44.34
98,59.0,1,0.0,1, Chung cư,Không có nội thất,,,1650.0,Đường Đỗ Xuân Hợp,Phước Long B,9,Tp Hồ Chí Minh,27.97
99,56.0,2,0.0,1, Chung cư,Không có nội thất,,,2100.0,Đường Võ Văn Kiệt,An Lạc,Bình Tân,Tp Hồ Chí Minh,37.5
100,194.0,3,0.0,3, Penthouse, Nội thất cao cấp, Nam, Tây Bắc,7000.0,Đường Phú Mỹ Hưng,Tân Phong,7,Tp Hồ Chí Minh,36.08
101,56.0,2,5.0,1, Chung cư, Nội thất đầy đủ, Nam, Tây,2690.0,189B,Nguyễn Cư Trinh,1,Tp Hồ Chí Minh,48.04
102,60.45,2,18.0,2, Chung cư, Hoàn thiện cơ bản, Đông Bắc, Tây Nam,1690.0,Đường Cây Keo,Tam Phú,Thủ Đức,Tp Hồ Chí Minh,27.96
103,83.6,3,3.0,2, Chung cư, Nội thất cao cấp, Nam, Đông Bắc,3800.0,số 88,Sơn Kỳ,Tân Phú,Tp Hồ Chí Minh,45.45
104,73.6,2,20.0,2, Chung cư, Nội thất cao cấp, Đông Bắc, Tây Nam,3850.0,Đường Phú Thuận,Tân Phú,7,Tp Hồ Chí Minh,52.31
105,71.42,2,0.0,2, Chung cư,Không có nội thất,,,2990.0,Đường Nguyễn Hữu Thọ,,,Tp Hồ Chí Minh,41.87
106,46.0,1,0.0,1, Chung cư,Không có nội thất,,,2368.0,Nội khu dự án Vinhomes Grand Park- đường Nguyễn Xiển,Long Thạnh Mỹ,9,,51.48
